Sum of Average_Salary,Year,Quarter,Month,Day,Email,Q1 - Which Title Best Fits your Current Role?.1,Sum of Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q5 - Favorite Programming Language.2,Sum of Q6 - How Happy are you in your Current Position with the following? (Coworkers),Sum of Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Sum of Q6 - How Happy are you in your Current Position with the following? (Management),Sum of Q6 - How Happy are you in your Current Position with the following? (Salary),Sum of Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Sum of Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Time Spent,Time Taken (America/New_York),Unique ID
20,2022,Qtr 2,June,14,anonymous,Data Analyst,25,Other,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,0,0,0,0,0,0,Very Difficult,Better Salary,Male,1899-12-30 00:00:53,1899-12-30 10:41:00,62a89e365d257a28a314fd36
75.5,2022,Qtr 2,June,14,anonymous,Data Analyst,25,Other,Bachelors,Native Hawaiian or other Pacific Islander,No,66k-85k,Other,Python,,4,4,3,2,4,4,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:22,1899-12-30 04:31:00,62a84764bc6861bf317d7b86
53,2022,Qtr 2,June,14,anonymous,Data Analyst,24,Other,Bachelors,White or Caucasian,No,41k-65k,Finance,Python,,7,5,7,4,5,7,Easy,Better Salary,Male,1899-12-30 00:01:34,1899-12-30 06:53:00,62a868c5cf2555431737094b
20,2022,Qtr 2,June,14,anonymous,Data Engineer,33,Other,Bachelors,White or Caucasian,Yes,0-40k,Tech,Python,,6,9,3,4,7,6,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:37,1899-12-30 05:47:00,62a8592f7dc029e2d672c0a8
20,2022,Qtr 2,June,14,anonymous,Student/Looking/None,53,Other,Bachelors,Black or African American,Yes,0-40k,Other,Other,None at the moment,0,0,0,0,0,1,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:02:53,1899-12-30 05:42:00,62a85803f8d5efcc22fea92f
20,2022,Qtr 2,June,14,anonymous,Student/Looking/None,39,Other,High School,Black or African American,Yes,0-40k,Finance,R,,5,6,4,3,5,5,Difficult,Better Salary,Male,1899-12-30 00:04:29,1899-12-30 06:34:00,62a8643bcec54911e9d14297
20,2022,Qtr 2,June,15,anonymous,Data Analyst,39,Other,Associates,White or Caucasian,Yes,0-40k,Tech,Python,,7,6,7,6,5,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:50,1899-12-30 22:29:00,62aa956ef8d5efcc22028e3d
20,2022,Qtr 2,June,15,anonymous,Data Analyst,26,Other,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,8,9,5,3,7,8,Easy,Better Salary,Male,1899-12-30 00:02:07,1899-12-30 09:43:00,62a9e206f3072dd8926bce70
137.5,2022,Qtr 2,June,15,anonymous,Data Analyst,34,Other,Bachelors,Asian or Asian American,Yes,125k-150k,Finance,Python,,7,2,4,6,4,8,Easy,Other (Please Specify):Better Tech Stack,Male,1899-12-30 00:06:15,1899-12-30 22:29:00,62aa95970a77c1a77f709268
75.5,2022,Qtr 2,June,15,anonymous,Data Analyst,27,Other,Bachelors,Asian or Asian American,Yes,66k-85k,Education,Other,SQL,7,9,9,5,8,9,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:26,1899-12-30 00:33:00,62a9612bf8d5efcc22007c09
20,2022,Qtr 2,June,15,anonymous,Data Analyst,28,Other,Bachelors,Black or African American,Yes,0-40k,Other,Other,None,5,3,3,2,0,0,Very Difficult,Remote Work,Male,1899-12-30 00:01:24,1899-12-30 00:38:00,62a962380f8c8599d5b7e3fb
53,2022,Qtr 2,June,15,anonymous,Data Analyst,24,Other,Bachelors,Other (Please Specify):Arab,Yes,41k-65k,Tech,Python,,10,8,10,9,5,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:20,1899-12-30 18:24:00,62aa5c11f408bae018f7dec0
20,2022,Qtr 2,June,15,anonymous,Data Analyst,30,Other,Bachelors,Other (Please Specify):Nigeria,Yes,0-40k,Other,Python,,5,1,5,1,1,9,Difficult,Better Salary,Male,1899-12-30 00:02:13,1899-12-30 16:17:00,62aa3e6824a26260274264da
20,2022,Qtr 2,June,15,anonymous,Data Analyst,22,Other,Bachelors,White or Caucasian,No,0-40k,Finance,Python,,5,6,5,2,6,6,Easy,Good Culture,Male,1899-12-30 00:01:56,1899-12-30 06:59:00,62a9bb81bc6861bf3180079c
75.5,2022,Qtr 2,June,15,anonymous,Data Analyst,38,Other,Masters,Black or African American,No,66k-85k,Education,Python,,5,4,3,3,3,3,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:02:08,1899-12-30 04:07:00,62a993537dc029e2d674e9b5
53,2022,Qtr 2,June,15,anonymous,Data Analyst,32,Other,Masters,Black or African American,Yes,41k-65k,Telecommunication,Other,SQL,5,6,6,4,4,7,Difficult,Better Salary,Female,1899-12-30 00:02:00,1899-12-30 15:13:00,62aa2f44bc6861bf3180fd06
20,2022,Qtr 2,June,15,anonymous,Data Engineer,26,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Tech,Python,,3,9,2,7,5,3,Difficult,Better Salary,Male,1899-12-30 00:06:20,1899-12-30 14:48:00,62aa29852e54c9003e5d50b5
75.5,2022,Qtr 2,June,15,anonymous,Data Engineer,25,Other,Bachelors,Other (Please Specify):Greek,No,66k-85k,Education,Python,,10,10,9,10,9,10,Difficult,Remote Work,Male,1899-12-30 00:01:23,1899-12-30 11:20:00,62a9f8a4cf2555431739d694
53,2022,Qtr 2,June,15,anonymous,Data Engineer,30,Other,Masters,White or Caucasian,No,41k-65k,Construction,Python,,8,5,5,6,5,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:43,1899-12-30 00:30:00,62a960567dc029e2d6749dd8
53,2022,Qtr 2,June,15,anonymous,Data Scientist,40,Other,Masters,White or Caucasian,No,41k-65k,Tech,R,,7,2,1,5,1,1,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:24,1899-12-30 15:34:00,62aa3454bae91e4b8b8d3249
53,2022,Qtr 2,June,15,anonymous,Other,32,Other,Bachelors,Asian or Asian American,No,41k-65k,Tech,JavaScript,,5,0,5,7,0,7,Difficult,Good Culture,Male,1899-12-30 00:02:35,1899-12-30 18:04:00,62aa5761bc6861bf318141fc
53,2022,Qtr 2,June,15,anonymous,Other,32,Other,Bachelors,Hispanic or Latino,Yes,41k-65k,Finance,Other,DAX,10,5,10,7,4,10,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:03:51,1899-12-30 13:30:00,62aa1734f3072dd8926c4168
20,2022,Qtr 2,June,16,anonymous,Data Analyst,22,Other,Bachelors,Other (Please Specify):Malay,No,0-40k,Other,Python,,7,8,7,6,5,9,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:41,1899-12-30 10:29:00,62ab3e62bae91e4b8b8ebe14
20,2022,Qtr 2,June,16,anonymous,Data Analyst,19,Other,Bachelors,White or Caucasian,No,0-40k,Tech,R,,3,10,0,0,0,6,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:14,1899-12-30 16:00:00,62ab8bf65d257a28a319e9cb
20,2022,Qtr 2,June,16,anonymous,Student/Looking/None,31,Other,High School,Black or African American,Yes,0-40k,Tech,Python,,2,3,0,0,1,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:12:16,1899-12-30 06:00:00,62aaff342e54c9003e5e79b8
20,2022,Qtr 2,June,16,anonymous,Student/Looking/None,22,Other,Masters,Other (Please Specify):Arabian (from Maghreb),Yes,0-40k,Other,Python,,5,1,6,5,2,6,Difficult,Remote Work,Male,1899-12-30 00:02:11,1899-12-30 06:54:00,62ab0bdc575fa3a5ae9413e5
20,2022,Qtr 2,June,17,anonymous,Data Analyst,22,Other,Bachelors,Black or African American,No,0-40k,Tech,Python,,5,3,6,2,6,2,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:38,1899-12-30 14:03:00,62acc1f0cf255543173e59f7
95.5,2022,Qtr 2,June,17,anonymous,Data Analyst,26,Other,Masters,Asian or Asian American,No,86k-105k,Tech,Python,,4,4,4,4,3,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:26,1899-12-30 16:37:00,62ace61d575fa3a5ae972d57
53,2022,Qtr 2,June,18,anonymous,Other,29,Other,Bachelors,Hispanic or Latino,Yes,41k-65k,Finance,Python,,10,10,10,8,10,10,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:05,1899-12-30 20:04:00,62ae680024a2626027483ebc
20,2022,Qtr 2,June,19,anonymous,Data Analyst,23,Other,Masters,White or Caucasian,Yes,0-40k,Tech,Python,,9,4,6,3,9,9,Easy,Better Salary,Male,1899-12-30 00:02:06,1899-12-30 18:10:00,62af9ed7f3072dd892739279
20,2022,Qtr 2,June,19,anonymous,Student/Looking/None,22,Other,Bachelors,Asian or Asian American,No,0-40k,Agriculture,Other,SQL,8,8,8,0,8,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:21,1899-12-30 13:57:00,62af6371f8d5efcc2208e923
20,2022,Qtr 2,June,19,anonymous,Student/Looking/None,26,Other,Bachelors,Asian or Asian American,Yes,0-40k,Education,Python,,9,10,8,7,9,8,Difficult,Good Work/Life Balance,Male,1899-12-30 00:01:20,1899-12-30 04:40:00,62aee103f8f756164595adb8
20,2022,Qtr 2,June,19,anonymous,Student/Looking/None,26,Other,Bachelors,Black or African American,Yes,0-40k,Tech,Python,,3,9,5,2,5,3,Easy,Remote Work,Male,1899-12-30 00:01:40,1899-12-30 12:04:00,62af49025d257a28a31eb2f1
53,2022,Qtr 2,June,21,anonymous,Data Analyst,39,Other,Masters,White or Caucasian,No,41k-65k,Finance,Other,SQL,4,5,6,7,4,5,Easy,Good Work/Life Balance,Female,1899-12-30 00:02:28,1899-12-30 02:51:00,62b16a5c5d257a28a321a74c
20,2022,Qtr 2,June,21,anonymous,Other,28,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Other,Python,,7,4,5,3,4,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:54,1899-12-30 01:09:00,62b152960f8c8599d5c31550
20,2022,Qtr 2,June,23,anonymous,Database Developer,66,Other,High School,Black or African American,Yes,0-40k,Telecommunication,Python,,5,5,5,5,4,5,Easy,Better Salary,Male,1899-12-30 00:01:20,1899-12-30 06:28:00,62b4404df31287f32e14d1c1
20,2022,Qtr 2,June,25,anonymous,Data Engineer,24,Other,Bachelors,Hispanic or Latino,No,0-40k,Tech,Python,,6,3,6,6,4,6,Easy,Other (Please Specify):Career Advancedment,Male,1899-12-30 00:02:17,1899-12-30 19:06:00,62b795033b026e423f287ecd
20,2022,Qtr 2,June,25,anonymous,Student/Looking/None,26,Other,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,1,2,2,1,1,2,Difficult,Better Salary,Male,1899-12-30 00:04:43,1899-12-30 09:41:00,62b71083f31287f32e189026
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,31,United Kingdom,"",White or Caucasian,Yes,66k-85k,Finance,Python,,7,4,5,5,4,6,Neither easy nor difficult,Other (Please Specify):Development,Male,1899-12-30 00:01:38,1899-12-30 08:53:00,62a33eb6bc6861bf3176c5a3
20,2022,Qtr 2,June,10,anonymous,Data Analyst,30,United Kingdom,Bachelors,Black or African American,No,0-40k,Telecommunication,Other,,4,6,3,1,2,4,Very Difficult,Better Salary,Male,1899-12-30 00:01:45,1899-12-30 09:32:00,62a347f6b4da29969c62fb79
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,24,United Kingdom,Bachelors,White or Caucasian,No,66k-85k,Finance,Python,,5,10,7,7,9,5,Very Easy,Remote Work,Male,1899-12-30 00:00:55,1899-12-30 11:22:00,62a361cc575fa3a5ae88f908
20,2022,Qtr 2,June,10,anonymous,Data Analyst,30,United Kingdom,Bachelors,White or Caucasian,Yes,0-40k,Finance,C/C++,,10,10,8,5,10,10,Very Easy,Good Work/Life Balance,Male,1899-12-30 00:01:45,1899-12-30 11:53:00,62a368ee2e54c9003e537e4a
53,2022,Qtr 2,June,10,anonymous,Data Analyst,32,United Kingdom,Bachelors,White or Caucasian,Yes,41k-65k,Other,Python,,7,7,7,5,7,5,Easy,Better Salary,Male,1899-12-30 00:02:07,1899-12-30 10:29:00,62a35541f3072dd892625517
53,2022,Qtr 2,June,10,anonymous,Data Analyst,28,United Kingdom,Bachelors,White or Caucasian,Yes,41k-65k,Other,Python,,3,1,3,3,1,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:19,1899-12-30 17:40:00,62a3ba4dbc6861bf31779f24
53,2022,Qtr 2,June,10,anonymous,Data Analyst,33,United Kingdom,High School,White or Caucasian,Yes,41k-65k,Finance,Python,,6,6,6,5,6,6,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:00:56,1899-12-30 09:02:00,62a340d62e54c9003e5324b4
53,2022,Qtr 2,June,10,anonymous,Data Analyst,25,United Kingdom,Masters,Asian or Asian American,No,41k-65k,Healthcare,R,,3,6,2,1,0,4,Difficult,Better Salary,Male,1899-12-30 00:01:20,1899-12-30 10:27:00,62a354bdb4da29969c631700
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,33,United Kingdom,Masters,Asian or Asian American,Yes,66k-85k,Tech,Python,,6,6,6,6,6,6,Difficult,Remote Work,Female,1899-12-30 00:01:34,1899-12-30 11:49:00,62a36802f8f7561645857e38
20,2022,Qtr 2,June,10,anonymous,Data Engineer,25,United Kingdom,Bachelors,White or Caucasian,No,0-40k,Other,Python,,10,3,5,0,0,10,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:20,1899-12-30 15:14:00,62a397fb5d257a28a30e279a
20,2022,Qtr 2,June,10,anonymous,Data Scientist,30,United Kingdom,"",White or Caucasian,Yes,0-40k,Education,Python,,10,8,6,3,7,10,Easy,Good Work/Life Balance,Male,1899-12-30 00:00:55,1899-12-30 08:46:00,62a33d1ebae91e4b8b82e707
95.5,2022,Qtr 2,June,10,anonymous,Other,34,United Kingdom,Bachelors,White or Caucasian,No,86k-105k,Other,Other,c#,0,0,2,5,0,2,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:21,1899-12-30 12:04:00,62a36b862e54c9003e5383c6
53,2022,Qtr 2,June,10,anonymous,Other,34,United Kingdom,Bachelors,White or Caucasian,Yes,41k-65k,Other,Python,,9,10,9,8,10,8,Very Easy,Better Salary,Male,1899-12-30 00:02:22,1899-12-30 09:38:00,62a3493fb4da29969c62fe63
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,42,United Kingdom,Masters,White or Caucasian,Yes,0-40k,Other,Python,,1,3,0,1,0,1,Difficult,Remote Work,Female,1899-12-30 00:01:37,1899-12-30 09:55:00,62a34d4118134ddc75ceb0ed
53,2022,Qtr 2,June,11,anonymous,Data Analyst,25,United Kingdom,Bachelors,Black or African American,No,41k-65k,Other,Python,,4,6,5,5,6,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:47,1899-12-30 08:40:00,62a48d4df8d5efcc22f98308
75.5,2022,Qtr 2,June,11,anonymous,Data Analyst,29,United Kingdom,Bachelors,White or Caucasian,No,66k-85k,Real Estate,Other,SQL,7,6,7,6,5,8,Easy,Better Salary,Female,1899-12-30 00:02:27,1899-12-30 05:02:00,62a45a140a77c1a77f67469d
20,2022,Qtr 2,June,11,anonymous,Data Analyst,30,United Kingdom,Bachelors,White or Caucasian,Yes,0-40k,Other,Python,,8,10,9,2,8,8,Difficult,Better Salary,Male,1899-12-30 00:01:16,1899-12-30 04:01:00,62a44bc7bc6861bf31783829
95.5,2022,Qtr 2,June,11,anonymous,Data Analyst,35,United Kingdom,Bachelors,White or Caucasian,Yes,86k-105k,Tech,R,,,,,3,,,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:38,1899-12-30 08:59:00,62a491b3b4da29969c64a89e
20,2022,Qtr 2,June,11,anonymous,Data Analyst,30,United Kingdom,Masters,Asian or Asian American,Yes,0-40k,Tech,Python,,0,0,0,0,0,0,Difficult,Good Work/Life Balance,Male,1899-12-30 00:01:06,1899-12-30 09:53:00,62a49e47b4da29969c64b9f9
20,2022,Qtr 2,June,11,anonymous,Data Analyst,28,United Kingdom,Masters,Black or African American,Yes,0-40k,Tech,Python,,7,1,7,1,7,7,Difficult,Better Salary,Female,1899-12-30 00:02:47,1899-12-30 01:14:00,62a424ccd8c00e9f541b114e
53,2022,Qtr 2,June,11,anonymous,Data Analyst,42,United Kingdom,Masters,Black or African American,Yes,41k-65k,Finance,Python,,5,6,5,4,6,5,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:04:04,1899-12-30 03:18:00,62a441e3575fa3a5ae8a1552
95.5,2022,Qtr 2,June,11,anonymous,Data Engineer,40,United Kingdom,Bachelors,White or Caucasian,Yes,86k-105k,Other,JavaScript,,1,5,6,4,1,4,Difficult,Better Salary,Male,1899-12-30 00:01:28,1899-12-30 09:53:00,62a49e5f24a262602739f9af
53,2022,Qtr 2,June,11,anonymous,Data Engineer,35,United Kingdom,Masters,Asian or Asian American,Yes,41k-65k,Tech,Python,,3,5,4,4,4,4,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:03:19,1899-12-30 20:53:00,62a5390cb4da29969c655ccc
20,2022,Qtr 2,June,11,anonymous,Database Developer,24,United Kingdom,Bachelors,White or Caucasian,Yes,0-40k,Telecommunication,Other,SQL,6,5,6,2,3,3,Difficult,Better Salary,Male,1899-12-30 00:02:20,1899-12-30 00:26:00,62a41968f8d5efcc22f8fd44
20,2022,Qtr 2,June,11,anonymous,Other,42,United Kingdom,Bachelors,Other (Please Specify):Bla,No,0-40k,Other,Python,,7,1,4,2,8,2,Difficult,Remote Work,Male,1899-12-30 00:05:32,1899-12-30 13:56:00,62a4d74c5d257a28a30f97fc
75.5,2022,Qtr 2,June,11,anonymous,Other,31,United Kingdom,Bachelors,White or Caucasian,No,66k-85k,Education,R,,6,6,7,7,6,7,Easy,Remote Work,Female,1899-12-30 00:02:17,1899-12-30 16:11:00,62a4f6eef3072dd892645775
75.5,2022,Qtr 2,June,11,anonymous,Other,60,United Kingdom,Masters,White or Caucasian,No,66k-85k,Finance,Other,None,7,7,2,3,5,5,Easy,Remote Work,Male,1899-12-30 00:01:51,1899-12-30 05:28:00,62a4604d0a77c1a77f674e29
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,24,United Kingdom,Masters,Asian or Asian American,No,0-40k,Other,R,,10,10,10,10,10,10,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:11,1899-12-30 07:15:00,62a47947cec54911e9cbf6b2
53,2022,Qtr 2,June,12,anonymous,Data Analyst,28,United Kingdom,Bachelors,Asian or Asian American,Yes,41k-65k,Other,Python,,9,9,9,7,7,9,Easy,Better Salary,Female,1899-12-30 00:02:39,1899-12-30 15:45:00,62a642690f8c8599d5b2ab37
20,2022,Qtr 2,June,12,anonymous,Data Analyst,32,United Kingdom,Bachelors,Hispanic or Latino,No,0-40k,Healthcare,Python,,6,9,7,2,7,6,Difficult,Better Salary,Male,1899-12-30 00:01:52,1899-12-30 14:03:00,62a62a7124a26260273b94fa
53,2022,Qtr 2,June,12,anonymous,Data Scientist,44,United Kingdom,Bachelors,White or Caucasian,Yes,41k-65k,Other,Python,,10,10,10,8,10,8,Easy,Good Culture,Female,1899-12-30 00:02:29,1899-12-30 17:42:00,62a65db824a26260273bc9ff
53,2022,Qtr 2,June,13,anonymous,Data Analyst,32,United Kingdom,Masters,Hispanic or Latino,Yes,41k-65k,Other,Python,,7,7,7,5,7,7,Difficult,Better Salary,Male,1899-12-30 00:02:04,1899-12-30 03:08:00,62a6e2815d257a28a311c8f9
53,2022,Qtr 2,June,13,anonymous,Data Analyst,48,United Kingdom,Masters,White or Caucasian,No,41k-65k,Other,Other,DAX,4,4,1,1,1,4,Easy,Good Culture,Female,1899-12-30 00:03:06,1899-12-30 01:59:00,62a6d2532e54c9003e575d9c
20,2022,Qtr 2,June,13,anonymous,Data Engineer,23,United Kingdom,Bachelors,Other (Please Specify):Arab,No,0-40k,Real Estate,Python,,8,3,9,3,5,3,Easy,Better Salary,Male,1899-12-30 00:01:47,1899-12-30 01:50:00,62a6d037cec54911e9ce862a
53,2022,Qtr 2,June,13,anonymous,Other,27,United Kingdom,Masters,White or Caucasian,No,41k-65k,Tech,Python,,5,7,6,7,6,9,Easy,Other (Please Specify):The work,Male,1899-12-30 00:01:34,1899-12-30 10:48:00,62a74e28b4da29969c681108
20,2022,Qtr 2,June,13,anonymous,Student/Looking/None,38,United Kingdom,Masters,Black or African American,Yes,0-40k,Tech,R,,,10,,,,,Easy,Remote Work,Female,1899-12-30 00:03:13,1899-12-30 07:02:00,62a71930bae91e4b8b878b2b
20,2022,Qtr 2,June,14,anonymous,Data Analyst,22,United Kingdom,Bachelors,White or Caucasian,Yes,0-40k,Healthcare,Other,Excel,5,9,7,6,7,7,Difficult,Better Salary,Female,1899-12-30 00:01:05,1899-12-30 06:43:00,62a8665c5d257a28a31474f7
20,2022,Qtr 2,June,14,anonymous,Data Analyst,28,United Kingdom,Masters,Black or African American,Yes,0-40k,Healthcare,R,,6,3,4,3,6,6,Very Easy,Better Salary,Female,1899-12-30 00:01:44,1899-12-30 17:49:00,62a9024d18134ddc75d6e76d
53,2022,Qtr 2,June,16,anonymous,Data Analyst,30,United Kingdom,Masters,White or Caucasian,Yes,41k-65k,Tech,Python,,8,10,8,4,10,8,Very Easy,Remote Work,Male,1899-12-30 00:01:17,1899-12-30 05:30:00,62aaf8397dc029e2d6773cde
53,2022,Qtr 2,June,17,anonymous,Other,31,United Kingdom,Bachelors,White or Caucasian,No,41k-65k,Tech,Other,,4,3,5,4,5,5,Easy,Good Culture,Female,1899-12-30 00:02:06,1899-12-30 17:22:00,62acf0890f8c8599d5bdce87
115.5,2022,Qtr 2,June,10,anonymous,Data Analyst,33,United States,"",Asian or Asian American,Yes,106k-125k,Other,Python,,9,2,1,1,0,6,Difficult,Remote Work,Female,1899-12-30 00:01:20,1899-12-30 08:52:00,62a33e890f8c8599d5af13b9
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,35,United States,"",Asian or Asian American,Yes,86k-105k,Healthcare,R,,4,5,4,4,5,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:10,1899-12-30 08:45:00,62a33cd3cf255543173001d9
53,2022,Qtr 2,June,10,anonymous,Data Analyst,44,United States,"",Black or African American,Yes,41k-65k,Healthcare,R,,4,1,4,1,0,4,Difficult,Better Salary,Male,1899-12-30 00:01:51,1899-12-30 08:44:00,62a33c91f3072dd892621e03
53,2022,Qtr 2,June,10,anonymous,Data Analyst,28,United States,"",Hispanic or Latino,Yes,41k-65k,Telecommunication,Python,,3,4,3,2,0,0,Very Difficult,Better Salary,Male,1899-12-30 00:01:27,1899-12-30 08:45:00,62a33cd8bc6861bf3176c05f
53,2022,Qtr 2,June,10,anonymous,Data Analyst,31,United States,"",White or Caucasian,No,41k-65k,Construction,R,,5,5,5,4,4,5,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:01:24,1899-12-30 08:47:00,62a33d4624a26260273824c4
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,32,United States,"",White or Caucasian,No,66k-85k,Finance,Other,SQL,1,8,1,5,0,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:25,1899-12-30 09:00:00,62a3406b575fa3a5ae88ae78
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,23,United States,"",White or Caucasian,No,66k-85k,Other,Other,SQL,5,2,5,7,5,10,Difficult,Other (Please Specify):Responsibilities,Male,1899-12-30 00:02:07,1899-12-30 08:52:00,62a33e72bae91e4b8b82ea1a
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,43,United States,"",White or Caucasian,No,86k-105k,Healthcare,Other,Qlik sense script,7,4,7,6,7,7,Very Easy,Better Salary,Male,1899-12-30 00:01:34,1899-12-30 08:52:00,62a33e8bf8d5efcc22f7c79a
115.5,2022,Qtr 2,June,10,anonymous,Data Analyst,26,United States,"",White or Caucasian,Yes,106k-125k,Healthcare,Python,,7,7,5,9,5,9,Very Difficult,Remote Work,Male,1899-12-30 00:00:44,1899-12-30 08:38:00,62a33b3db4da29969c62df3d
115.5,2022,Qtr 2,June,10,anonymous,Data Analyst,31,United States,"",White or Caucasian,Yes,106k-125k,Tech,Other,Mostly use sql but that’s not programming language..,10,10,6,10,10,5,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:01:35,1899-12-30 08:50:00,62a33dfbd8c00e9f5419ceda
53,2022,Qtr 2,June,10,anonymous,Data Analyst,29,United States,"",White or Caucasian,Yes,41k-65k,Finance,Python,,7,5,7,4,7,10,Difficult,Good Culture,Male,1899-12-30 00:00:47,1899-12-30 08:47:00,62a33d5c0f8c8599d5af107c
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,41,United States,"",White or Caucasian,Yes,66k-85k,Other,R,,10,9,8,7,9,8,Difficult,Remote Work,Female,1899-12-30 00:02:47,1899-12-30 09:02:00,62a340cab4da29969c62ec01
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,29,United States,"",White or Caucasian,Yes,86k-105k,Healthcare,Other,SQL,6,5,4,3,4,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:33,1899-12-30 08:55:00,62a33f52bc6861bf3176c72c
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,28,United States,"",White or Caucasian,Yes,86k-105k,Other,Python,,2,7,3,8,6,6,Neither easy nor difficult,"Other (Please Specify):Strong organizational data strategy, high-performing team",Male,1899-12-30 00:03:55,1899-12-30 08:59:00,62a34038b4da29969c62eafe
75.5,2022,Qtr 2,June,10,anonymous,Data Analyst,23,United States,Associates,White or Caucasian,No,66k-85k,Tech,Python,,7,8,7,8,8,6,Easy,Better Salary,Male,1899-12-30 00:12:09,1899-12-30 22:29:00,62a3fe0d5d257a28a30ea3c8
53,2022,Qtr 2,June,10,anonymous,Data Analyst,42,United States,Associates,White or Caucasian,Yes,41k-65k,Education,R,,5,4,4,3,3,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:38,1899-12-30 09:21:00,62a345490a77c1a77f65cc5b
187.5,2022,Qtr 2,June,10,anonymous,Data Analyst,28,United States,Bachelors,Asian or Asian American,No,150k-225k,Tech,Python,,10,10,8,10,10,10,Easy,Good Work/Life Balance,Male,1899-12-30 00:01:04,1899-12-30 11:04:00,62a35d95cf25554317304386
53,2022,Qtr 2,June,10,anonymous,Data Analyst,33,United States,Bachelors,Asian or Asian American,No,41k-65k,Healthcare,Other,SQL,5,3,5,3,3,7,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:11,1899-12-30 19:27:00,62a3d37c0a77c1a77f66bc0e
53,2022,Qtr 2,June,10,anonymous,Data Analyst,21,United States,Bachelors,Asian or Asian American,No,41k-65k,Healthcare,Python,,8,0,7,1,0,2,Difficult,Better Salary,Male,1899-12-30 00:01:06,1899-12-30 10:03:00,62a34f2af8f7561645854c1c
95.5,2022,Qtr 2,June,10,anonymous,Data Analyst,28,United States,Bachelors,Asian or Asian American,No,86k-105k,Healthcare,Python,,5,1,2,5,5,9,Difficult,Good Culture,Female,1899-12-30 01:09:45,1899-12-30 21:45:00,62a3f39df8d5efcc22f8ddc2
